google_place_id,name,address,city,rating,website,google_maps_url,types,imported_at
ChIJ5QdtEQsdbkgRVLsazLL53Pg,Pasture Restaurant Cardiff,"8-10 High St, Cardiff CF10 1AW",Cardiff,4.8,http://www.pasturerestaurant.com/,https://maps.google.com/?cid=17932482362606271316&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,steak_house|bar|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:41.012986+00
ChIJ_xJ2a4sdbkgRAzXDV36hHxs,The Botanist Cardiff,"10, 5 Church St, Cardiff CF10 1BG",Cardiff,4.2,http://www.thebotanist.uk.com/locations/cardiff,https://maps.google.com/?cid=1954458327312446723&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,restaurant|family_restaurant|cocktail_bar|pub|british_restaurant|european_restaurant|bar|food|point_of_interest|establishment,2026-09-08 16:46:41.012986+00
ChIJR3QyrzsdbkgRgIYyhUbEu_A,The Cardiff Townhouse,"18 The Hayes, St Davids Centre, Cardiff CF10 1AH",Cardiff,4.4,https://www.coppaclub.co.uk/the-cardiff-townhouse?utm_source=Organic+Search&utm_medium=Local&utm_campaign=GB_Cardiff&utm_content=listing,https://maps.google.com/?cid=17346674196909033088&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,mediterranean_restaurant|lounge_bar|pizza_restaurant|cocktail_bar|breakfast_restaurant|night_club|wholesaler|bar|food_store|store|restaurant|food|service|point_of_interest|establishment,2026-09-08 16:46:41.012986+00
ChIJC2ojzakdbkgRfaKvHVZR63Q,The Ivy Asia Cardiff,"45 The Hayes, St Davids Centre, Cardiff CF10 1GA",Cardiff,4.6,https://theivyasia.com/asian-food-near-me/asian-restaurants-wales/the-ivy-asia-cardiff/,https://maps.google.com/?cid=8424916958233731709&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,asian_restaurant|breakfast_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:41.012986+00
ChIJK7b9ayUdbkgRpfJWoiXJ9HY,The Ivy Cardiff,"69/70 St David’s, St Davids Centre, Cardiff CF10 1GA",Cardiff,4.4,https://ivycollection.com/restaurants-near-me/the-ivy-wales/the-ivy-cardiff/?utm_source=LocalGoogle&utm_medium=Organic,https://maps.google.com/?cid=8571697154267476645&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,british_restaurant|european_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:41.012986+00
ChIJO3UAPLAcbkgRNNhfL0F-6jw,The Potted Pig,"27 High St, Cardiff CF10 1PU",Cardiff,4.6,https://thepottedpig.com/,https://maps.google.com/?cid=4389459605258754100&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,italian_restaurant|british_restaurant|european_restaurant|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:41.012986+00
ChIJF5Mos7EcbkgR4F_B4Y-f_hk,Turtle Bay Cardiff,"114-116 St Mary St, Cardiff CF10 1DY",Cardiff,4.8,https://turtlebay.co.uk/restaurants/cardiff,https://maps.google.com/?cid=1873109935349391328&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,caribbean_restaurant|cocktail_bar|bar|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:41.012986+00
ChIJW9Jx15HHh0gRl1m9r1vbfS8,Dishoom Edinburgh,"3a St Andrew Sq, Edinburgh EH2 2BD",Edinburgh,4.8,https://www.dishoom.com/edinburgh?utm_source=google&utm_medium=organic&utm_campaign=Yext&utm_content=D5-Edinburgh&y_source=1_MjMwNDkyMDYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://maps.google.com/?cid=3422132478708373911&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,indian_restaurant|halal_restaurant|breakfast_restaurant|vegan_restaurant|vegetarian_restaurant|bar|cafe|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:41.813594+00
ChIJU0Ds27XHh0gRVRT2dj9UESw,Duck & Waffle Edinburgh,"400-402 St James Cres, Edinburgh EH1 3AE",Edinburgh,4.6,https://duckandwaffle.com/edinburgh/?utm_source=gbp&utm_medium=organic&utm_campaign=edinburgh_gbp,https://maps.google.com/?cid=3175411843828421717&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,restaurant|cocktail_bar|brunch_restaurant|bar|food|point_of_interest|establishment,2026-09-08 16:46:41.813594+00
ChIJp9DCk-XHh0gRLRA5GXj9MII,Edinburgh Street Food,"Leith St, Edinburgh EH1 3AU",Edinburgh,4.6,http://www.edinburgh-street-food.com/,https://maps.google.com/?cid=9381276716073816109&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,food_court|restaurant|food|point_of_interest|establishment,2026-09-08 16:46:41.813594+00
